转出,转入,delta,问题一损失差,广义损失差_情景,一阶近似
github,arxiv,0.005,0.00017632514279597444,2.134753113303134e-05,1.3923958007065836e-05
github,freelaw,0.005,8.027577590574708e-05,9.718803665847986e-06,1.4409764615142156e-06
github,nih_exporter,0.005,-0.0012196982986623084,-0.00014764253565902052,-0.00025914619578534223
github,pubmed_central,0.005,-0.00015360607466519127,-1.859620110922222e-05,-2.6862090858029384e-05
github,wikipedia_en,0.005,-0.0004176956803929599,-5.05663684760016e-05,-6.201298692200403e-05
github,dm_mathematics,0.005,-0.008103817810500402,-0.0009801267653077872,-0.0010914575908880576
github,philpapers,0.005,-0.0029536542547194955,-0.0003574591448018971,-0.0005484307160428313
github,stackexchange,0.005,-0.0012589125606750073,-0.00015238862694522126,-0.00016458319191993258
github,enron_emails,0.005,-0.006572207643619876,-0.0007950334245698798,-0.0014408216724232062
github,gutenberg_pg_19,0.005,5.7794011491196784e-05,6.996968838102191e-06,-5.789856115874294e-06
github,pile_cc,0.005,-0.0004951273952382707,-5.993970681794636e-05,-6.886000097721579e-05
github,ubuntu_irc,0.005,-0.008643955460235553,-0.0010453852048715184,-0.001193729617371278
github,europarl,0.005,0.0014430815086523552,0.00017473975715542878,0.00017013219897448923
github,hackernews,0.005,-0.005458842060697577,-0.0006604408240526993,-0.0008214822585385412
github,pubmed_abstracts,0.005,-0.00017181667896615238,-2.080080744804036e-05,-3.212324655475722e-05
github,uspto_backgrounds,0.005,4.9770675678573184e-05,6.025598763947926e-06,-3.543245000394151e-06
philpapers,arxiv,0.005,0.010108140042635938,0.0012252751443662113,0.0005623546740498971
philpapers,freelaw,0.005,0.010012090675746599,0.0012136180612181136,0.0005498716925043455
philpapers,nih_exporter,0.005,0.008712116601178543,0.0010558730094056834,0.00028928452025748906
philpapers,pubmed_central,0.005,0.00977820882517566,0.0011852340126683458,0.000521568625184802
philpapers,wikipedia_en,0.005,0.009514119219447892,0.0011531858887177115,0.00048641772912082725
philpapers,dm_mathematics,0.005,0.0018279970893404496,0.00022135883647012022,-0.0005430268748452263
philpapers,github,0.005,0.009996197536779938,0.0012116892083207098,0.0005484307160428313
philpapers,stackexchange,0.005,0.008672902339165844,0.0010511153451724375,0.0003838475241228987
philpapers,enron_emails,0.005,0.0033596072562200874,0.0004069035118652309,-0.0008923909563803751
philpapers,gutenberg_pg_19,0.005,0.009989608911332049,0.0012108895894233918,0.000542640859926957
philpapers,pile_cc,0.005,0.009436687504602581,0.0011437896942725345,0.00047957071506561546
philpapers,ubuntu_irc,0.005,0.001287859439605299,0.00015594126964968424,-0.0006452989013284465
philpapers,europarl,0.005,0.011374896408493207,0.0013790414045242727,0.0007185629150173204
philpapers,hackernews,0.005,0.004472972839143274,0.0005418243052011107,-0.00027305154249570993
philpapers,pubmed_abstracts,0.005,0.0097599982208747,0.0011830240305803486,0.0005163074694880741
philpapers,uspto_backgrounds,0.005,0.009981585575519425,0.0012099158507443697,0.0005448874710424371
stackexchange,arxiv,0.005,0.0015746244968335432,0.00019067110106751883,0.0001785071499269984
stackexchange,freelaw,0.005,0.001478575129944204,0.00017903838558241958,0.00016602416838144677
stackexchange,nih_exporter,0.005,0.00017860105537614857,2.1623079916377463e-05,-9.456300386540966e-05
stackexchange,pubmed_central,0.005,0.0012446932793732657,0.00015071367030783378,0.0001377211010619032
stackexchange,wikipedia_en,0.005,0.0009806036736446089,0.00011873253892069613,0.00010257020499792855
stackexchange,dm_mathematics,0.005,-0.006705518456461945,-0.0008111466463356365,-0.000926874398968125
stackexchange,github,0.005,0.0014626819909775435,0.00017711356470861972,0.00016458319191993258
stackexchange,philpapers,0.005,-0.0015553549006810385,-0.00018826548485906258,-0.0003838475241228987
stackexchange,enron_emails,0.005,-0.005173908289582307,-0.0006259898286957721,-0.0012762384805032737
stackexchange,gutenberg_pg_19,0.005,0.0014560933655296537,0.00017631561731379364,0.00015879333580405826
stackexchange,pile_cc,0.005,0.0009031719588001863,0.00010935598603589725,9.57231909427168e-05
stackexchange,ubuntu_irc,0.005,-0.007245656106197096,-0.000876427465978491,-0.0010291464254513453
stackexchange,europarl,0.005,0.002841380862690812,0.00034411593224215054,0.00033471539089442183
stackexchange,hackernews,0.005,-0.00406054270665912,-0.0004913510702704293,-0.0006568990666186085
stackexchange,pubmed_abstracts,0.005,0.0012264826750723046,0.00014850830790935632,0.00013245994536517536
stackexchange,uspto_backgrounds,0.005,0.0014480700297170301,0.00017534391411277994,0.00016103994691953841
gutenberg_pg_19,arxiv,0.005,0.0002743115195338319,3.3211055234350084e-05,1.971381412294013e-05
gutenberg_pg_19,freelaw,0.005,0.00017826215264360457,2.1582048349788607e-05,7.2308325773885105e-06
gutenberg_pg_19,nih_exporter,0.005,-0.0011217119219235627,-0.00013578307208428342,-0.00025335633966946795
gutenberg_pg_19,pubmed_central,0.005,-5.561969792733379e-05,-6.7336367832737665e-06,-2.1072234742155087e-05
gutenberg_pg_19,wikipedia_en,0.005,-0.0003197093036551024,-3.8704572335568344e-05,-5.6223130806129736e-05
gutenberg_pg_19,dm_mathematics,0.005,-0.008005831433762545,-0.0009682873048304508,-0.0010856677347721832
gutenberg_pg_19,github,0.005,0.00016236901367783219,1.9657841124676168e-05,5.789856115874294e-06
