Model,task,raw_accuracy,chance_baseline,normalized_score,file
01-ai/Yi-9B-200K,leaderboard_musr_murder_mysteries,0.524,0.5,4.800000000000004,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B-200K/results_2024-06-16T17-43-23.132103.json
01-ai/Yi-9B-200K,leaderboard_musr_object_placements,0.32421875,0.2,15.527343749999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B-200K/results_2024-06-16T17-43-23.132103.json
01-ai/Yi-9B-200K,leaderboard_musr_team_allocation,0.44,0.3333333333333333,16.0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B-200K/results_2024-06-16T17-43-23.132103.json
01-ai/Yi-Coder-9B-Chat,leaderboard_musr_murder_mysteries,0.52,0.5,4.0000000000000036,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-Coder-9B-Chat/results_2024-09-14T00-02-12.867980.json
01-ai/Yi-Coder-9B-Chat,leaderboard_musr_object_placements,0.26953125,0.2,8.691406249999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-Coder-9B-Chat/results_2024-09-14T00-02-12.867980.json
01-ai/Yi-Coder-9B-Chat,leaderboard_musr_team_allocation,0.408,0.3333333333333333,11.199999999999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-Coder-9B-Chat/results_2024-09-14T00-02-12.867980.json
1-800-LLMs/Qwen-2.5-14B-Hindi,leaderboard_musr_murder_mysteries,0.512,0.5,2.400000000000002,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi/results_2025-02-06T06-30-20.641880.json
1-800-LLMs/Qwen-2.5-14B-Hindi,leaderboard_musr_object_placements,0.3828125,0.2,22.851562499999996,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi/results_2025-02-06T06-30-20.641880.json
1-800-LLMs/Qwen-2.5-14B-Hindi,leaderboard_musr_team_allocation,0.452,0.3333333333333333,17.8,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi/results_2025-02-06T06-30-20.641880.json
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,leaderboard_musr_murder_mysteries,0.568,0.5,13.59999999999999,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct/results_2025-02-06T11-27-58.645224.json
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,leaderboard_musr_object_placements,0.3671875,0.2,20.898437499999996,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct/results_2025-02-06T11-27-58.645224.json
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,leaderboard_musr_team_allocation,0.412,0.3333333333333333,11.799999999999997,real_attachments/C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct/results_2025-02-06T11-27-58.645224.json
1024m/PHI-4-Hindi,leaderboard_musr_murder_mysteries,0.576,0.5,15.199999999999992,real_attachments/C_efficiency_evolution/detailed_results/1024m_PHI-4-Hindi/results_2025-02-06T05-43-08.878637.json
1024m/PHI-4-Hindi,leaderboard_musr_object_placements,0.4140625,0.2,26.757812499999993,real_attachments/C_efficiency_evolution/detailed_results/1024m_PHI-4-Hindi/results_2025-02-06T05-43-08.878637.json
1024m/PHI-4-Hindi,leaderboard_musr_team_allocation,0.484,0.3333333333333333,22.599999999999998,real_attachments/C_efficiency_evolution/detailed_results/1024m_PHI-4-Hindi/results_2025-02-06T05-43-08.878637.json
1024m/QWEN-14B-B100,leaderboard_musr_murder_mysteries,0.528,0.5,5.600000000000005,real_attachments/C_efficiency_evolution/detailed_results/1024m_QWEN-14B-B100/results_2025-02-06T10-49-32.966803.json
1024m/QWEN-14B-B100,leaderboard_musr_object_placements,0.25,0.2,6.249999999999998,real_attachments/C_efficiency_evolution/detailed_results/1024m_QWEN-14B-B100/results_2025-02-06T10-49-32.966803.json
1024m/QWEN-14B-B100,leaderboard_musr_team_allocation,0.452,0.3333333333333333,17.8,real_attachments/C_efficiency_evolution/detailed_results/1024m_QWEN-14B-B100/results_2025-02-06T10-49-32.966803.json
