Model,MuSR_rebuilt,complete,file,MUSR,type,S,date,difference
LeroyDyer/SpydazWeb_AI_HumanAGI_002,21.144531249999996,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAGI_002/results_2025-02-13T18-27-04.338360.json,21.144531249999996,chat_finetuned,21.01474000615888,2025-01-15,0.0
LeroyDyer/SpydazWeb_AI_HumanAI_001,6.053906250000002,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_001/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_006,1.7656250000000016,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_006/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_007,9.236458333333333,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_007/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_009_CHAT,10.31875,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_009_CHAT/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_010_CHAT,10.01484375,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_010_CHAT/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_011_INSTRUCT,5.793229166666667,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_011_INSTRUCT/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_011_INSTRUCT_ML,10.922916666666666,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_011_INSTRUCT_ML/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_011_INSTRUCT_ML_r1,7.250260416666667,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_011_INSTRUCT_ML_r1/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_012_INSTRUCT_IA,11.309114583333333,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_012_INSTRUCT_IA/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_012_INSTRUCT_MX,3.5481770833333326,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_012_INSTRUCT_MX/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_012_INSTRUCT_XA,10.183593750000002,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_012_INSTRUCT_XA/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_HumanAI_RP,5.865885416666665,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_RP/results_2025-02-13T18-27-04.338360.json,5.865885416666665,chat_finetuned,7.78223636896281,2024-11-18,0.0
LeroyDyer/SpydazWeb_AI_HumanAI_TextVision,7.497135416666669,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAI_TextVision/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_HumanAI_M1,4.289322916666667,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_HumanAI_M1/results_2025-02-13T18-27-04.338360.json,,,,,
