Model,date,type,N,license,exclusion
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,2024-11-12,chat_finetuned,0.63,,license_unverified;
mattshumer/Reflection-Llama-3.1-70B,2024-12-25,chat_finetuned,70.554,llama3.1,
mattshumer/ref_70_e3,2024-09-08,chat_finetuned,70.554,llama3.1,
maywell/Qwen2-7B-Multilingual-RP,2024-09-05,chat_finetuned,7.616,apache-2.0,
meditsolutions/Llama-3.1-MedIT-SUN-8B,2024-11-06,chat_finetuned,8.03,llama3.1,
meditsolutions/Llama-3.2-SUN-1B-Instruct,2024-11-27,chat_finetuned,1.498,llama3.2,
meditsolutions/Llama-3.2-SUN-1B-chat,2024-11-07,chat_finetuned,1.498,llama3.2,
meditsolutions/Llama-3.2-SUN-2.4B-checkpoint-26000,2024-10-04,chat_finetuned,2.209,llama3.2,
meditsolutions/Llama-3.2-SUN-2.4B-checkpoint-34800,2024-10-05,chat_finetuned,2.209,llama3.2,
meditsolutions/Llama-3.2-SUN-2.4B-v1.0.0,2024-10-20,chat_finetuned,2.472,llama3.2,
meditsolutions/Llama-3.2-SUN-2.5B-chat,2024-10-26,chat_finetuned,2.472,llama3.2,
meditsolutions/Llama-3.2-SUN-HDIC-1B-Instruct,2024-12-11,chat_finetuned,1.498,llama3.2,
meditsolutions/MSH-Lite-7B-v1-Bielik-v2.3-Instruct-Llama-Prune,2024-11-13,chat_finetuned,7.646,apache-2.0,
meditsolutions/MSH-v1-Bielik-v2.3-Instruct-MedIT-merge,2024-11-06,chat_finetuned,11.169,apache-2.0,
meditsolutions/MedIT-Mesh-3B-Instruct,2024-11-01,chat_finetuned,3.821,mit,
meditsolutions/SmolLM2-MedIT-Upscale-2B,2024-12-02,chat_finetuned,2.114,apache-2.0,
meetkai/functionary-small-v3.1,2024-11-10,chat_finetuned,8.03,mit,
meraGPT/mera-mix-4x7B,2024-06-27,merge,24.154,apache-2.0,
mergekit-community/JAJUKA-WEWILLNEVERFORGETYOU-3B,2025-02-26,merge,3.213,,license_unverified;
mergekit-community/SuperQwen-2.5-1.5B,2025-01-25,merge,1.777,,license_unverified;
mergekit-community/VirtuosoSmall-InstructModelStock,2024-12-19,merge,14.766,,license_unverified;
mergekit-community/diabolic6045_ELN-AOC-CAIN,2025-01-05,chat_finetuned,1.236,,license_unverified;
mergekit-community/mergekit-dare_ties-ajgjgea,2025-01-25,merge,1.498,,license_unverified;
mergekit-community/mergekit-della-zgowfmf,2024-12-19,merge,14.766,,license_unverified;
mergekit-community/mergekit-model_stock-azgztvm,2024-12-20,merge,14.766,,license_unverified;
mergekit-community/mergekit-slerp-fmrazcr,2024-12-26,merge,8.03,,license_unverified;
mergekit-community/mergekit-ties-rraxdhv,2025-01-26,merge,9.242,,license_unverified;
mergekit-community/mergekit-ties-ykqemwr,2024-12-25,merge,12.248,,license_unverified;
mergekit-community/sexeh_time_testing,2024-12-27,merge,8.03,,license_unverified;
meta-llama/Llama-2-13b-chat-hf,2024-06-12,chat_finetuned,13.016,llama2,
meta-llama/Llama-2-13b-hf,2024-06-12,pretrained,13.016,llama2,
meta-llama/Llama-2-70b-chat-hf,2024-06-12,chat_finetuned,68.977,llama2,
meta-llama/Llama-2-70b-hf,2024-06-12,pretrained,68.977,llama2,
meta-llama/Llama-2-7b-chat-hf,2024-08-30,pretrained,6.738,llama2,
meta-llama/Llama-2-7b-hf,2024-06-12,pretrained,6.738,llama2,
meta-llama/Llama-3.1-70B,2024-07-23,pretrained,70.554,llama3.1,
meta-llama/Llama-3.1-70B-Instruct,2024-08-15,chat_finetuned,70.554,llama3.1,
meta-llama/Llama-3.1-8B,2024-12-07,chat_finetuned,8.03,llama3.1,
meta-llama/Llama-3.1-8B-Instruct,2025-02-06,pretrained,8.03,llama3.1,
meta-llama/Llama-3.2-1B,2024-09-23,pretrained,1.24,llama3.2,
meta-llama/Llama-3.2-1B-Instruct,2024-09-23,chat_finetuned,1.24,llama3.2,
meta-llama/Llama-3.2-3B,2024-09-27,pretrained,3.213,llama3.2,
meta-llama/Llama-3.2-3B-Instruct,2024-09-27,chat_finetuned,3.213,llama3.2,
meta-llama/Llama-3.3-70B-Instruct,2024-12-03,chat_finetuned,70.554,llama3.3,
meta-llama/Meta-Llama-3-70B,2024-06-12,pretrained,70.554,llama3,
meta-llama/Meta-Llama-3-70B-Instruct,2024-06-12,chat_finetuned,70.554,llama3,
meta-llama/Meta-Llama-3-8B,2024-06-12,pretrained,8.03,llama3,
meta-llama/Meta-Llama-3-8B-Instruct,2024-06-12,chat_finetuned,8.03,llama3,
meta-llama/Meta-Llama-3-8B-Instruct,2024-07-08,chat_finetuned,8.03,llama3,
mhl1/Qwen2.5-0.5B-cinstruct-stage1,2025-01-08,chat_finetuned,0.63,apache-2.0,
microsoft/DialoGPT-medium,2024-06-13,chat_finetuned,0.345,mit,
microsoft/Orca-2-13b,2024-06-12,chat_finetuned,13.0,other,license_unverified;
microsoft/Orca-2-7b,2024-06-12,chat_finetuned,7.0,other,license_unverified;
microsoft/Phi-3-medium-128k-instruct,2024-08-21,chat_finetuned,13.96,mit,
microsoft/Phi-3-medium-4k-instruct,2024-06-12,chat_finetuned,13.96,mit,
microsoft/Phi-3-mini-128k-instruct,2024-08-21,chat_finetuned,3.821,mit,
microsoft/Phi-3-mini-4k-instruct,2024-06-12,chat_finetuned,3.821,mit,
microsoft/Phi-3-mini-4k-instruct,2024-07-02,chat_finetuned,3.821,mit,
microsoft/Phi-3-small-128k-instruct,2024-06-13,chat_finetuned,7.392,mit,
microsoft/Phi-3-small-8k-instruct,2024-06-13,chat_finetuned,7.392,mit,
microsoft/Phi-3.5-MoE-instruct,2024-08-21,chat_finetuned,42.0,mit,
microsoft/Phi-3.5-mini-instruct,2024-08-21,chat_finetuned,3.821,mit,
microsoft/Phi-4-mini-instruct,2025-02-28,chat_finetuned,3.836,mit,
microsoft/phi-1,2024-06-13,pretrained,1.418,mit,
microsoft/phi-1_5,2024-06-09,pretrained,1.418,mit,
microsoft/phi-2,2024-06-09,pretrained,2.78,mit,
microsoft/phi-4,2025-01-08,pretrained,14.66,mit,
microsoft/phi-4,2025-01-08,chat_finetuned,14.66,mit,
migtissera/Llama-3-70B-Synthia-v3.5,2024-08-28,chat_finetuned,70.554,llama3,
migtissera/Llama-3-8B-Synthia-v3.5,2024-08-28,chat_finetuned,8.03,llama3,
migtissera/Tess-3-7B-SFT,2024-07-20,chat_finetuned,7.248,apache-2.0,
migtissera/Tess-3-Mistral-Nemo-12B,2024-09-16,chat_finetuned,12.248,apache-2.0,
migtissera/Tess-v2.5-Phi-3-medium-128k-14B,2024-08-30,chat_finetuned,13.96,mit,
migtissera/Tess-v2.5.2-Qwen2-72B,2024-08-10,chat_finetuned,72.0,other,license_unverified;
migtissera/Trinity-2-Codestral-22B,2024-09-16,chat_finetuned,22.247,other,license_unverified;
migtissera/Trinity-2-Codestral-22B-v0.2,2024-08-28,chat_finetuned,22.247,other,license_unverified;
migtissera/Trinity-2-Codestral-22B-v0.2,2024-09-16,chat_finetuned,22.247,other,license_unverified;
mindw96/DeepSeek-llama3.3-Bllossom-8B-DACON-LLM3,2025-02-17,chat_finetuned,8.03,,license_unverified;
minghaowu/Qwen1.5-1.8B-OpenHermes-2.5,2024-09-12,chat_finetuned,1.837,,license_unverified;
ministral/Ministral-3b-instruct,2024-10-25,chat_finetuned,3.316,apache-2.0,
mistral-community/Mistral-7B-v0.2,2024-06-12,pretrained,7.242,apache-2.0,
mistral-community/Mixtral-8x22B-v0.1,,other,0.0,apache-2.0,missing_submission_date;invalid_N;
mistral-community/mixtral-8x22B-v0.3,2024-06-13,pretrained,140.63,apache-2.0,
mistralai/Codestral-22B-v0.1,2024-09-28,pretrained,22.247,other,license_unverified;
mistralai/Ministral-8B-Instruct-2410,2024-12-01,chat_finetuned,8.02,other,license_unverified;
mistralai/Mistral-7B-Instruct-v0.1,2024-06-27,chat_finetuned,7.242,apache-2.0,
mistralai/Mistral-7B-Instruct-v0.2,2024-06-12,chat_finetuned,7.242,apache-2.0,
mistralai/Mistral-7B-Instruct-v0.3,2024-06-12,chat_finetuned,7.248,apache-2.0,
mistralai/Mistral-7B-v0.1,2024-06-12,pretrained,7.242,apache-2.0,
mistralai/Mistral-7B-v0.3,2024-06-12,pretrained,7.248,apache-2.0,
mistralai/Mistral-Large-Instruct-2411,2024-11-19,chat_finetuned,122.61,other,license_unverified;
mistralai/Mistral-Nemo-Base-2407,2024-07-19,pretrained,11.58,apache-2.0,
mistralai/Mistral-Nemo-Instruct-2407,2024-08-29,chat_finetuned,12.248,apache-2.0,
mistralai/Mistral-Small-24B-Base-2501,2025-01-30,pretrained,23.572,apache-2.0,
mistralai/Mistral-Small-Instruct-2409,2024-09-19,chat_finetuned,22.05,other,license_unverified;
mistralai/Mistral-Small-Instruct-2409,2024-09-25,chat_finetuned,22.247,other,license_unverified;
mistralai/Mixtral-8x22B-Instruct-v0.1,2024-06-12,chat_finetuned,140.621,apache-2.0,
mistralai/Mixtral-8x22B-v0.1,2024-06-12,pretrained,140.621,apache-2.0,
mistralai/Mixtral-8x7B-Instruct-v0.1,2024-06-12,chat_finetuned,46.703,apache-2.0,
mistralai/Mixtral-8x7B-v0.1,2024-08-20,pretrained,46.703,apache-2.0,
mistralai/Mixtral-8x7B-v0.1,2024-06-27,chat_finetuned,46.703,apache-2.0,
mixtao/MixTAO-7Bx2-MoE-v8.1,2024-10-04,chat_finetuned,12.879,apache-2.0,
mkurman/llama-3.2-MEDIT-3B-o1,2025-01-07,chat_finetuned,3.607,llama3.2,
mkurman/phi-4-MedIT-11B-exp-1,2025-01-10,chat_finetuned,11.514,,license_unverified;
mkurman/phi4-MedIT-10B-o1,2025-01-18,chat_finetuned,10.255,mit,
mkxu/llama-3-8b-instruct-fpo,2025-02-18,chat_finetuned,8.03,,license_unverified;
mkxu/llama-3-8b-po1,2024-11-29,chat_finetuned,8.03,,license_unverified;
mlabonne/AlphaMonarch-7B,2024-06-12,chat_finetuned,7.242,cc-by-nc-4.0,
mlabonne/Beyonder-4x7B-v3,2024-06-12,merge,24.154,cc-by-nc-4.0,
mlabonne/BigQwen2.5-52B-Instruct,2024-09-25,merge,52.268,apache-2.0,
mlabonne/BigQwen2.5-Echo-47B-Instruct,2024-09-24,merge,47.392,apache-2.0,
mlabonne/ChimeraLlama-3-8B-v2,2024-08-25,merge,8.03,other,license_unverified;
mlabonne/ChimeraLlama-3-8B-v3,2024-08-25,merge,8.03,other,license_unverified;
mlabonne/Daredevil-8B,2024-07-02,chat_finetuned,8.03,other,license_unverified;
mlabonne/Daredevil-8B-abliterated,2024-07-02,chat_finetuned,8.03,other,license_unverified;
mlabonne/Hermes-3-Llama-3.1-70B-lorablated,2024-11-27,chat_finetuned,70.554,,license_unverified;
mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,2024-10-13,chat_finetuned,8.03,llama3.1,
mlabonne/NeuralBeagle14-7B,2024-06-27,chat_finetuned,7.242,cc-by-nc-4.0,
mlabonne/NeuralDaredevil-8B-abliterated,2024-07-25,merge,8.03,llama3,
mlabonne/NeuralDaredevil-8B-abliterated,2024-06-27,chat_finetuned,8.03,llama3,
mlabonne/OrpoLlama-3-8B,2024-06-12,chat_finetuned,8.03,other,license_unverified;
mlabonne/phixtral-2x2_8,2024-06-12,merge,4.458,mit,
mlx-community/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-float32,2025-01-07,chat_finetuned,0.494,apache-2.0,
mlx-community/Mistral-Small-24B-Instruct-2501-bf16,2025-02-06,chat_finetuned,23.572,apache-2.0,
mmnga/Llama-3-70B-japanese-suzume-vector-v0.1,2024-09-19,chat_finetuned,70.554,llama3,
mobiuslabsgmbh/DeepSeek-R1-ReDistill-Llama3-8B-v1.1,2025-02-16,chat_finetuned,8.03,mit,
mobiuslabsgmbh/DeepSeek-R1-ReDistill-Qwen-7B-v1.1,2025-02-16,chat_finetuned,7.616,mit,
moeru-ai/L3.1-Moe-2x8B-v0.2,2024-10-25,merge,13.668,llama3.1,
moeru-ai/L3.1-Moe-4x8B-v0.1,2024-10-23,merge,24.942,llama3.1,
moeru-ai/L3.1-Moe-4x8B-v0.2,2024-10-30,merge,24.942,llama3.1,
monsterapi/Llama-3_1-8B-Instruct-orca-ORPO,2024-08-30,chat_finetuned,16.061,apache-2.0,
monsterapi/gemma-2-2b-LoRA-MonsterInstruct,2024-08-05,chat_finetuned,2.614,gemma,
mosaicml/mpt-7b,2024-06-08,pretrained,7.0,apache-2.0,
mosama/Qwen2.5-1.5B-Instruct-CoT-Reflection,2024-12-22,chat_finetuned,1.544,apache-2.0,
mrdayl/OpenCogito,2025-03-07,chat_finetuned,3.086,,license_unverified;
mrdayl/OpenCognito,2025-03-07,chat_finetuned,3.086,apache-2.0,
mrdayl/OpenCognito-r1,2025-03-11,chat_finetuned,3.086,apache-2.0,
mrdayl/OpenCognito-r2,2025-03-13,chat_finetuned,3.086,apache-2.0,
mrdayl/OpenThink,2025-02-27,chat_finetuned,1.777,apache-2.0,
mrm8488/phi-4-14B-grpo-gsm8k-3e,2025-02-13,chat_finetuned,14.66,apache-2.0,
mrm8488/phi-4-14B-grpo-limo,2025-02-13,chat_finetuned,14.66,apache-2.0,
mukaj/Llama-3.1-Hawkish-8B,2024-12-18,chat_finetuned,8.03,other,license_unverified;
natong19/Mistral-Nemo-Instruct-2407-abliterated,2024-09-21,chat_finetuned,12.248,apache-2.0,
natong19/Qwen2-7B-Instruct-abliterated,2024-07-29,chat_finetuned,7.616,apache-2.0,
nazimali/Mistral-Nemo-Kurdish,2024-10-14,continued,12.248,apache-2.0,
nazimali/Mistral-Nemo-Kurdish-Instruct,2024-10-14,chat_finetuned,12.248,apache-2.0,
nazimali/Mistral-Nemo-Kurdish-Instruct,2024-10-14,chat_finetuned,12.248,apache-2.0,
nbeerbower/BigKartoffel-mistral-nemo-20B,2025-03-05,merge,20.427,apache-2.0,
nbeerbower/DoppelKartoffel-Mistral-Nemo-23B,2025-02-15,chat_finetuned,23.153,apache-2.0,
nbeerbower/DoublePotato-Mistral-Nemo-13B,2025-02-21,merge,13.338,,license_unverified;
nbeerbower/Dumpling-Qwen2.5-1.5B,2025-01-29,chat_finetuned,1.544,apache-2.0,
nbeerbower/Dumpling-Qwen2.5-14B,2025-02-15,chat_finetuned,14.77,apache-2.0,
nbeerbower/Dumpling-Qwen2.5-7B-1k-r16,2025-02-21,chat_finetuned,7.616,apache-2.0,
nbeerbower/Dumpling-Qwen2.5-7B-1k-r64-2e-5,2025-02-21,chat_finetuned,7.616,apache-2.0,
nbeerbower/EVA-abliterated-TIES-Qwen2.5-1.5B,2025-01-29,merge,1.777,apache-2.0,
nbeerbower/EVA-abliterated-TIES-Qwen2.5-14B,2025-02-09,merge,14.77,apache-2.0,
nbeerbower/Flammades-Mistral-Nemo-12B,2024-10-06,chat_finetuned,12.248,apache-2.0,
nbeerbower/Gemma2-Gutenberg-Doppel-9B,2024-10-01,chat_finetuned,9.242,gemma,
nbeerbower/Gutensuppe-mistral-nemo-12B,2024-09-03,chat_finetuned,12.248,,license_unverified;
nbeerbower/Hermes2-Gutenberg2-Mistral-7B,2024-10-01,chat_finetuned,7.242,apache-2.0,
nbeerbower/Kartoffel-Deepfry-12B,2025-03-01,chat_finetuned,12.248,apache-2.0,
nbeerbower/Llama-3.1-Nemotron-lorablated-70B,2024-11-27,chat_finetuned,70.554,llama3.1,
nbeerbower/Llama3.1-Gutenberg-Doppel-70B,2024-10-12,chat_finetuned,70.554,llama3.1,
nbeerbower/Lyra-Gutenberg-mistral-nemo-12B,2024-09-03,chat_finetuned,12.248,cc-by-nc-4.0,
nbeerbower/Lyra4-Gutenberg-12B,2024-09-12,chat_finetuned,12.248,cc-by-nc-4.0,
nbeerbower/Lyra4-Gutenberg2-12B,2024-10-01,chat_finetuned,12.248,cc-by-nc-4.0,
nbeerbower/Mahou-1.5-mistral-nemo-12B-lorablated,2024-10-19,merge,12.248,apache-2.0,
nbeerbower/Mistral-Gutenberg-Doppel-7B-FFT,2024-11-18,chat_finetuned,7.242,apache-2.0,
nbeerbower/Mistral-Nemo-Gutenberg-Doppel-12B,2024-09-26,chat_finetuned,12.248,apache-2.0,
nbeerbower/Mistral-Nemo-Gutenberg-Doppel-12B-v2,2024-10-09,chat_finetuned,12.248,apache-2.0,
nbeerbower/Mistral-Nemo-Moderne-12B-FFT-experimental,2024-11-26,chat_finetuned,12.248,apache-2.0,
nbeerbower/Mistral-Nemo-Prism-12B,2024-11-12,chat_finetuned,12.248,apache-2.0,
nbeerbower/Mistral-Nemo-Prism-12B-v2,2024-11-26,chat_finetuned,12.248,apache-2.0,
nbeerbower/Mistral-Nemo-Prism-12B-v7,2024-11-26,chat_finetuned,12.248,apache-2.0,
nbeerbower/Mistral-Small-Drummer-22B,2024-10-01,chat_finetuned,22.247,other,license_unverified;
nbeerbower/Mistral-Small-Gutenberg-Doppel-22B,2024-09-25,chat_finetuned,22.247,other,license_unverified;
nbeerbower/Nemo-Loony-12B-experimental,2024-11-26,merge,12.248,,license_unverified;
nbeerbower/Nemoties-ChatML-12B,2025-02-21,merge,12.248,,license_unverified;
nbeerbower/Qwen2.5-Gutenberg-Doppel-14B,2024-11-11,chat_finetuned,14.77,apache-2.0,
nbeerbower/SmolNemo-12B-FFT-experimental,2024-11-26,chat_finetuned,12.248,apache-2.0,
nbeerbower/Stella-mistral-nemo-12B-v2,2024-09-14,chat_finetuned,12.248,,license_unverified;
nbeerbower/gemma2-gutenberg-27B,2024-09-23,chat_finetuned,27.227,gemma,
nbeerbower/gemma2-gutenberg-9B,2024-08-03,chat_finetuned,9.242,gemma,
nbeerbower/llama-3-gutenberg-8B,2024-07-10,chat_finetuned,8.03,other,license_unverified;
nbeerbower/llama3.1-cc-8B,2024-09-14,chat_finetuned,8.03,llama3,
nbeerbower/llama3.1-kartoffeldes-70B,2025-01-19,chat_finetuned,70.554,llama3.1,
nbeerbower/mistral-nemo-bophades-12B,2024-09-03,merge,12.248,apache-2.0,
nbeerbower/mistral-nemo-bophades3-12B,2025-01-13,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-cc-12B,2024-09-14,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-gutades-12B,2024-09-23,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-gutenberg-12B,2024-09-03,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-gutenberg-12B-v2,2024-09-03,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-gutenberg-12B-v3,2024-09-03,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-gutenberg-12B-v4,2024-09-03,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-gutenberg2-12B-test,2024-09-25,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-kartoffel-12B,2025-01-12,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-narwhal-12B,2025-01-13,chat_finetuned,12.248,apache-2.0,
nbeerbower/mistral-nemo-wissenschaft-12B,2024-08-30,chat_finetuned,12.248,apache-2.0,
nbrahme/IndusQ,2024-09-18,chat_finetuned,1.176,osl-3.0,license_unverified;
necva/IE-cont-Llama3.1-8B,2025-03-06,chat_finetuned,8.03,mit,
necva/replica-IEPile,2025-03-01,chat_finetuned,4.65,,license_unverified;
neopolita/jessi-v0.1-bf16-falcon3-7b-instruct,2025-01-08,merge,7.456,,license_unverified;
neopolita/jessi-v0.1-falcon3-10b-instruct,2025-01-19,merge,10.306,,license_unverified;
neopolita/jessi-v0.1-qwen2.5-7b-instruct,2025-01-26,merge,7.616,apache-2.0,
neopolita/jessi-v0.1-virtuoso-small,2025-01-15,merge,14.77,apache-2.0,
neopolita/jessi-v0.2-falcon3-10b-instruct,2025-01-21,merge,10.306,,license_unverified;
neopolita/jessi-v0.2-falcon3-7b-instruct,2025-01-08,merge,7.456,other,license_unverified;
neopolita/jessi-v0.3-falcon3-7b-instruct,2025-01-08,merge,7.456,other,license_unverified;
neopolita/jessi-v0.4-falcon3-7b-instruct,2025-01-17,merge,7.456,other,license_unverified;
neopolita/jessi-v0.5-falcon3-7b-instruct,2025-01-09,merge,7.456,other,license_unverified;
neopolita/jessi-v0.6-falcon3-7b-instruct,2025-01-20,merge,7.456,other,license_unverified;
neopolita/loki-v0.1-virtuoso,2025-01-23,merge,14.77,apache-2.0,
netcat420/DeepSeek-R1-Distill-Qwen-MFANN-Slerp-7b,2025-01-23,merge,7.616,,license_unverified;
netcat420/DeepSeek-R1-MFANN-TIES-unretrained-7b,2025-01-22,merge,7.616,,license_unverified;
netcat420/Llama3.1-MFANN-8b,2024-12-23,chat_finetuned,8.03,llama3.1,
netcat420/MFANN-Llama3.1-Abliterated-SLERP-TIES-V2,2024-11-09,merge,8.03,apache-2.0,
netcat420/MFANN-Llama3.1-Abliterated-SLERP-TIES-V3,2024-11-26,chat_finetuned,8.03,,license_unverified;
netcat420/MFANN-Llama3.1-Abliterated-SLERP-V4,2024-11-09,merge,8.03,apache-2.0,
netcat420/MFANN-Llama3.1-Abliterated-SLERP-V5,2024-11-26,merge,8.03,,license_unverified;
netcat420/MFANN-Llama3.1-Abliterated-Slerp-TIES,2024-10-29,merge,8.03,,license_unverified;
netcat420/MFANN-Llama3.1-Abliterated-Slerp-V3.2,2024-10-29,merge,8.03,,license_unverified;
netcat420/MFANN-SFT,2024-12-20,merge,8.03,,license_unverified;
netcat420/MFANN-abliterated-phi2-merge-unretrained,2025-01-15,chat_finetuned,2.775,,license_unverified;
netcat420/MFANN-llama3.1-Abliterated-SLERP,2024-10-07,merge,8.03,,license_unverified;
netcat420/MFANN-llama3.1-abliterated-SLERP-v3,2024-10-07,chat_finetuned,8.03,llama3.1,
netcat420/MFANN-llama3.1-abliterated-SLERP-v3.1,2024-10-17,merge,8.03,llama3.1,
netcat420/MFANN-llama3.1-abliterated-v2,2024-10-07,merge,8.03,,license_unverified;
netcat420/MFANN-phigments-slerp-V2,2024-10-26,merge,2.78,,license_unverified;
netcat420/MFANN-phigments-slerp-V3.2,2025-02-06,merge,2.78,,license_unverified;
netcat420/MFANN-phigments-slerp-V3.3,2025-02-06,merge,2.78,,license_unverified;
netcat420/MFANN3b,2024-12-14,chat_finetuned,2.78,mit,
netcat420/MFANN3bv0.15,2024-07-05,chat_finetuned,2.78,mit,
netcat420/MFANN3bv0.18,2024-07-25,chat_finetuned,2.78,mit,
netcat420/MFANN3bv0.19,2024-08-08,chat_finetuned,2.78,,license_unverified;
netcat420/MFANN3bv0.20,2024-08-29,chat_finetuned,2.78,mit,
netcat420/MFANN3bv0.21,2024-09-24,chat_finetuned,2.78,mit,
netcat420/MFANN3bv0.22,2024-10-26,chat_finetuned,2.78,mit,
netcat420/MFANN3bv0.23,2024-11-07,chat_finetuned,2.78,,license_unverified;
netcat420/MFANN3bv0.24,2024-11-22,chat_finetuned,2.78,mit,
netcat420/MFANN3bv1.1,2025-01-03,chat_finetuned,2.775,,license_unverified;
netcat420/MFANN3bv1.2,2025-01-22,chat_finetuned,2.775,mit,
netcat420/MFANN3bv1.3,2025-02-01,chat_finetuned,2.78,,license_unverified;
netcat420/MFANN3bv1.4,2025-02-06,chat_finetuned,2.78,mit,
netcat420/MFANNv0.19,2024-07-27,chat_finetuned,8.03,llama3.1,
netcat420/MFANNv0.20,2024-08-08,chat_finetuned,8.03,llama3.1,
netcat420/MFANNv0.21,2024-09-02,chat_finetuned,8.03,llama3,
netcat420/MFANNv0.22.1,2024-10-05,chat_finetuned,8.03,llama3.1,
netcat420/MFANNv0.23,2024-10-29,chat_finetuned,8.03,llama3.1,
netcat420/MFANNv0.24,2024-11-09,chat_finetuned,8.03,llama3.1,
netcat420/MFANNv0.25,2024-11-26,merge,8.03,llama3.1,
netcat420/Qwen2.5-7B-nerd-uncensored-v0.9-MFANN,2025-01-02,chat_finetuned,7.616,apache-2.0,
netcat420/Qwen2.5-7b-MFANN-slerp,2025-01-25,merge,7.616,mit,
netcat420/Qwen2.5-7b-nerd-uncensored-MFANN-slerp,2025-01-25,merge,7.616,,license_unverified;
netcat420/Qwen2.5-Coder-Scholar-7B-Abliterated-MFANN,2025-01-01,chat_finetuned,7.616,apache-2.0,
netcat420/Qwen2.5-Coder-Scholar-7B-Abliterated-MFANN-Slerp-Unretrained,2025-01-19,merge,7.616,,license_unverified;
netcat420/Qwen2.5-DeepSeek-R1-MFANN-Slerp-7b,2025-01-23,merge,7.616,,license_unverified;
netcat420/Qwen2.5-MFANN-7b,2025-01-24,chat_finetuned,7.616,,license_unverified;
netcat420/qwen2.5-MFANN-7b-SLERP-V1.2,2025-02-09,merge,7.616,apache-2.0,
netcat420/qwen2.5-MFANN-7b-SLERPv1.1,2025-02-03,merge,7.616,,license_unverified;
netcat420/qwen2.5-MFANN-7b-v1.1,2025-02-09,chat_finetuned,7.616,,license_unverified;
netease-youdao/Confucius-o1-14B,2025-01-27,chat_finetuned,14.77,apache-2.0,
newsbang/Homer-7B-v0.1,2024-11-14,chat_finetuned,7.616,apache-2.0,
newsbang/Homer-7B-v0.2,2024-11-15,chat_finetuned,7.616,,license_unverified;
newsbang/Homer-v0.3-Qwen2.5-7B,2024-11-18,chat_finetuned,7.616,,license_unverified;
newsbang/Homer-v0.4-Qwen2.5-7B,2024-11-18,chat_finetuned,7.616,,license_unverified;
newsbang/Homer-v0.5-Qwen2.5-7B,2024-11-20,chat_finetuned,7.616,,license_unverified;
newsbang/Homer-v1.0-Qwen2.5-72B,2024-12-16,chat_finetuned,72.706,apache-2.0,
newsbang/Homer-v1.0-Qwen2.5-7B,2024-12-04,chat_finetuned,7.616,apache-2.0,
nguyentd/FinancialAdvice-Qwen2.5-7B,2024-11-18,chat_finetuned,7.616,apache-2.0,
ngxson/MiniThinky-1B-Llama-3.2,2025-01-07,chat_finetuned,1.236,,license_unverified;
ngxson/MiniThinky-v2-1B-Llama-3.2,2025-01-09,chat_finetuned,1.236,,license_unverified;
nhyha/N3N_Delirium-v1_1030_0227,2024-11-04,chat_finetuned,10.159,apache-2.0,
nhyha/N3N_Llama-3.1-8B-Instruct_1028_0216,2024-11-04,chat_finetuned,8.03,apache-2.0,
nhyha/N3N_gemma-2-9b-it_20241029_1532,2024-11-04,chat_finetuned,10.159,gemma,
nhyha/N3N_gemma-2-9b-it_20241110_2026,2024-11-12,chat_finetuned,10.159,gemma,
nhyha/merge_Qwen2.5-7B-Instruct_20241023_0314,2024-11-04,chat_finetuned,7.616,apache-2.0,
nidum/Nidum-Limitless-Gemma-2B,2024-08-07,chat_finetuned,2.506,apache-2.0,
nisten/franqwenstein-35b,2024-10-03,merge,34.714,mit,
nisten/franqwenstein-35b,2024-10-03,chat_finetuned,34.714,mit,
nisten/tqwendo-36b,2024-12-21,chat_finetuned,35.69,mit,
nlpguy/Lion-Lamarck-v.1.0.8,2025-01-27,merge,14.766,,license_unverified;
nlpguy/Lion-Lamarck-v.1.0.9,2025-01-28,merge,14.766,,license_unverified;
nlpguy/Lion-Lamarck-v.1.1.0,2025-01-30,merge,14.766,,license_unverified;
nlpguy/Miisce-one,2025-02-10,merge,14.766,,license_unverified;
nlpguy/Mistral-NeMo-Minitron-Upscale-v1,2024-09-29,pretrained,12.451,other,license_unverified;
nlpguy/Mistral-NeMo-Minitron-Upscale-v2,2024-09-29,pretrained,12.451,other,license_unverified;
nlpguy/Mistral-NeMo-Minitron-Upscale-v3,2024-10-04,pretrained,12.451,other,license_unverified;
nlpguy/StableProse,2024-08-17,merge,12.248,,license_unverified;
nlpguy/StarFusion-alpha1,2024-06-26,merge,7.242,apache-2.0,
