Model,date,type,N,license,exclusion
DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,2024-09-22,chat_finetuned,14.483,,license_unverified;
DZgas/GIGABATEMAN-7B,2024-09-15,merge,7.242,,license_unverified;
Daemontatox/AetherDrake-SFT,2024-12-25,chat_finetuned,8.03,apache-2.0,
Daemontatox/AetherSett,2024-12-30,chat_finetuned,7.616,apache-2.0,
Daemontatox/AetherTOT,2024-12-28,chat_finetuned,10.67,apache-2.0,
Daemontatox/AetherTOT,2024-12-28,other,10.67,apache-2.0,
Daemontatox/AetherUncensored,2025-01-09,chat_finetuned,8.03,,license_unverified;
Daemontatox/Cogito-MIS,2025-02-18,chat_finetuned,23.572,,license_unverified;
Daemontatox/CogitoDistil,2025-01-22,chat_finetuned,7.616,,license_unverified;
Daemontatox/CogitoZ,2025-02-13,chat_finetuned,32.764,apache-2.0,
Daemontatox/CogitoZ14,2025-01-07,chat_finetuned,14.77,,license_unverified;
Daemontatox/DocumentCogito,2025-01-16,other,10.67,apache-2.0,
Daemontatox/DocumentCogito,2025-03-09,other,10.67,apache-2.0,
Daemontatox/Llama3.3-70B-CogniLink,2025-03-02,chat_finetuned,70.554,apache-2.0,
Daemontatox/Llama_cot,2025-03-09,other,10.67,,license_unverified;
Daemontatox/MawaredT1,2025-01-02,chat_finetuned,7.616,apache-2.0,
Daemontatox/Mini_QwQ,2025-01-16,chat_finetuned,7.616,,license_unverified;
Daemontatox/NemoR,2024-12-31,chat_finetuned,6.124,,license_unverified;
Daemontatox/PathFinderAI2.0,2025-01-21,chat_finetuned,32.764,apache-2.0,
Daemontatox/PathFinderAi3.0,2025-01-21,chat_finetuned,32.764,apache-2.0,
Daemontatox/PathfinderAI,2024-12-25,chat_finetuned,32.764,apache-2.0,
Daemontatox/PathfinderAI,2024-12-30,chat_finetuned,32.764,apache-2.0,
Daemontatox/Phi-4-COT,2025-01-11,chat_finetuned,14.66,,license_unverified;
Daemontatox/PixelParse_AI,2024-12-29,other,10.67,apache-2.0,
Daemontatox/RA2.0,2025-01-01,chat_finetuned,7.616,,license_unverified;
Daemontatox/RA_Reasoner,2024-12-25,chat_finetuned,10.306,apache-2.0,
Daemontatox/RA_Reasoner2.0,2024-12-29,chat_finetuned,10.306,apache-2.0,
Daemontatox/ReasonTest,2024-12-31,chat_finetuned,3.808,,license_unverified;
Daemontatox/Research_PathfinderAI,2025-02-21,chat_finetuned,1.777,,license_unverified;
Daemontatox/SphinX,2024-12-31,chat_finetuned,7.616,apache-2.0,
Daemontatox/Sphinx2.0,2024-12-30,chat_finetuned,14.77,apache-2.0,
Daemontatox/TinySphinx,2024-12-31,chat_finetuned,0.247,,license_unverified;
Daemontatox/TinySphinx2.0,2024-12-31,chat_finetuned,0.247,,license_unverified;
Daemontatox/Zirel-7B-Math,2025-02-28,chat_finetuned,7.616,apache-2.0,
Daemontatox/Zirel_1.5,2025-03-04,chat_finetuned,1.544,apache-2.0,
Daemontatox/mini-Cogito-R1,2025-02-22,chat_finetuned,1.777,apache-2.0,
Daemontatox/mini_Pathfinder,2025-01-20,chat_finetuned,7.616,,license_unverified;
Dampfinchen/Llama-3.1-8B-Ultra-Instruct,2024-08-26,merge,8.03,llama3,
Danielbrdz/Barcenas-10b,2025-01-06,chat_finetuned,10.306,apache-2.0,
Danielbrdz/Barcenas-14b-Phi-3-medium-ORPO,2024-08-13,chat_finetuned,13.96,mit,
Danielbrdz/Barcenas-14b-phi-4,2025-01-26,chat_finetuned,14.66,mit,
Danielbrdz/Barcenas-14b-phi-4-v2,2025-02-05,chat_finetuned,14.66,mit,
Danielbrdz/Barcenas-3b-GRPO,2025-02-08,chat_finetuned,3.213,llama3.2,
Danielbrdz/Barcenas-Llama3-8b-ORPO,2024-06-29,chat_finetuned,8.03,other,license_unverified;
Danielbrdz/Barcenas-R1-Qwen-1.5b,2025-01-26,chat_finetuned,1.777,mit,
Dans-DiscountModels/12b-mn-dans-reasoning-test-2,2025-03-07,chat_finetuned,12.248,,license_unverified;
Dans-DiscountModels/12b-mn-dans-reasoning-test-3,2025-03-10,chat_finetuned,12.248,,license_unverified;
Dans-DiscountModels/Dans-Instruct-CoreCurriculum-12b-ChatML,2024-09-04,chat_finetuned,12.248,apache-2.0,
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML,2024-09-14,chat_finetuned,8.03,,license_unverified;
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,2024-09-20,chat_finetuned,8.03,,license_unverified;
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.1,2024-09-23,chat_finetuned,8.03,,license_unverified;
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.2.0,2024-09-30,chat_finetuned,8.03,,license_unverified;
Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,2024-11-15,chat_finetuned,7.0,,license_unverified;
Dans-DiscountModels/mistral-7b-test-merged,2024-11-30,chat_finetuned,7.0,apache-2.0,
