replicate,power,set,n,weight_L1,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift
30,2,A1,10247,0.004302007905249764,0.9999918750518594,0.9970731707317073,0.9960975609756098,0.0008313062972566292
30,2,A2,16104,0.004302007905249764,0.9999923041137256,0.9987585350713842,0.9975170701427685,0.0008021552778277511
30,2,A3,193752,0.004302007905249764,0.9999868590281606,0.9973678777869529,0.9968001651527663,0.0010520812722162602
31,1,A1,10247,0.004393457071179992,0.9999905840717671,0.9980487804878049,0.9960975609756098,0.0009017246681886648
31,1,A2,16104,0.004393457071179992,0.9999873845097614,0.9962756052141527,0.9956548727498448,0.0010695660768344063
31,1,A3,193752,0.004393457071179992,0.9999900443723706,0.9976259289843105,0.9971614368290669,0.0009425459552463384
31,2,A1,10247,0.003753552091584931,0.9999927268163266,0.9960975609756098,0.9970731707317073,0.0007814972520883109
31,2,A2,16104,0.003753552091584931,0.9999931869733217,0.9981378026070763,0.9975170701427685,0.0007830991254313431
31,2,A3,193752,0.003753552091584931,0.9999890354638401,0.9978323699421965,0.9967485549132948,0.000984601544853826
32,1,A1,10247,0.006330959808064675,0.9999814192083354,0.9970731707317073,0.9951219512195122,0.001307358865475283
32,1,A2,16104,0.006330959808064675,0.9999661634658251,0.9956548727498448,0.9950341402855369,0.0017122234413224128
32,1,A3,193752,0.006330959808064675,0.9999717268419764,0.9954582989265071,0.9949938067712634,0.0016063776513037514
32,2,A1,10247,0.005075555124252864,0.9999862790872338,0.9980487804878049,0.9960975609756098,0.001133874818288651
32,2,A2,16104,0.005075555124252864,0.9999797763307652,0.9950341402855369,0.9975170701427685,0.0013029827359125447
32,2,A3,193752,0.005075555124252864,0.9999804345926789,0.9965937241948802,0.9958195706028076,0.0013438667121194795
33,1,A1,10247,0.006068601929680294,0.9999776587347399,0.9960975609756098,0.9931707317073171,0.0014338909828952215
33,1,A2,16104,0.006068601929680294,0.9999700358520687,0.9956548727498448,0.9937926753569212,0.0016237445920937652
33,1,A3,193752,0.006068601929680294,0.9999638010179661,0.9952518579686209,0.9940132122213047,0.0018517048187167346
33,2,A1,10247,0.0056546982624749755,0.9999804898971772,0.9951219512195122,0.9931707317073171,0.0013355300233352995
33,2,A2,16104,0.0056546982624749755,0.9999828385948324,0.9950341402855369,0.9975170701427685,0.0012215988523677072
33,2,A3,193752,0.0056546982624749755,0.9999584449560172,0.9952002477291495,0.993032617671346,0.0020341057148119935
34,1,A1,10247,0.008400115543197039,0.9999639635072937,0.9970731707317073,0.9921951219512195,0.0017819828759931251
