alpha,nu,objective
0.33625,0.28075,3.9166907083052e-05
0.33625,0.28099999999999997,4.2125612006776136e-05
0.33625,0.28125,4.583709268008426e-05
0.33625,0.2815,5.030113622539323e-05
0.33625,0.28175,5.551752850302121e-05
0.33625,0.282,6.148605411221491e-05
0.33625,0.28225,6.820649639201067e-05
0.33625,0.2825,7.567863742225752e-05
0.33625,0.28275,8.390225802453328e-05
0.33625,0.283,9.287713776314078e-05
0.33625,0.28325,0.00010260305494604368
0.33625,0.2835,0.00011307978662587932
0.33625,0.28375,0.00012430710860090023
0.33625,0.284,0.0001362847954159987
0.33625,0.28425,0.00014901262036366649
0.33625,0.2845,0.00016249035548498606
0.33625,0.28474999999999995,0.00017671777157066755
0.33625,0.285,0.0001916946381620528
0.3365,0.275,0.00017507189325890275
0.3365,0.27525,0.00016066104046640086
0.3365,0.2755,0.00014700750921411504
0.3365,0.27575,0.00013411111589957202
0.3365,0.276,0.00012197167563797185
0.3365,0.27625,0.00011058900226314056
0.3365,0.2765,9.996290832823624e-05
0.3365,0.27675,9.009320510665962e-05
0.3365,0.277,8.097970259281632e-05
0.3365,0.27725,7.262220950303404e-05
0.3365,0.2775,6.502053327634998e-05
0.3365,0.27775,5.8174480075398606e-05
0.3365,0.278,5.20838547872458e-05
0.3365,0.27825,4.6748461024252676e-05
0.3365,0.2785,4.2168101124962835e-05
0.3365,0.27875,3.834257615495963e-05
0.3365,0.279,3.527168590773037e-05
0.3365,0.27925,3.2955228905602405e-05
0.3365,0.2795,3.139300240055825e-05
0.3365,0.27975,3.058480237520892e-05
0.3365,0.2798924654965345,3.0461439101494804e-05
0.3365,0.28,3.0530423543601e-05
0.3365,0.28025,3.1229659352249166e-05
0.3365,0.28049999999999997,3.268230198091173e-05
0.3365,0.28075,3.488814234361027e-05
0.3365,0.28099999999999997,3.7846970089472676e-05
0.3365,0.28125,4.155857360371315e-05
0.3365,0.2815,4.602274000856336e-05
0.3365,0.28175,5.1239255164185105e-05
0.3365,0.282,5.720790366962214e-05
0.3365,0.28225,6.392846886376678e-05
0.3365,0.2825,7.140073282625556e-05
0.3365,0.28275,7.96244763785313e-05
0.3365,0.283,8.859947908468762e-05
0.3365,0.28325,9.832551925253046e-05
0.3365,0.2835,0.00010880237393450464
0.3365,0.28375,0.00012002981892870939
0.3365,0.284,0.0001320076287798399
0.3365,0.28425,0.00014473557678021165
0.3365,0.2845,0.00015821343497075994
0.3365,0.28474999999999995,0.00017244097414200228
0.3365,0.285,0.00018741796383508493
0.33675,0.275,0.000171087502568067
0.33675,0.27525,0.00015667677215263335
0.33675,0.2755,0.0001430233633000157
0.33675,0.27575,0.00013012709240755045
0.33675,0.276,0.0001179877745902926
0.33675,0.27625,0.00010660522368185391
0.33675,0.2765,9.597925223523411e-05
0.33675,0.27675,8.610967152364634e-05
0.33675,0.277,7.699629154132777e-05
0.33675,0.27725,6.863892100442457e-05
0.33675,0.2775,6.103736735180534e-05
0.33675,0.27775,5.419143674590288e-05
0.33675,0.278,4.8100934073631055e-05
0.33675,0.27825,4.2765662947161e-05
0.33675,0.2785,3.818542570486499e-05
0.33675,0.27875,3.4360023412140746e-05
0.33675,0.279,3.128925586230978e-05
0.33675,0.27925,2.8972921577516875e-05
0.33675,0.2795,2.7410817809566713e-05
0.33675,0.27975,2.6602740540885805e-05
0.33675,0.2798924654965345,2.6479447230231664e-05
0.33675,0.28,2.6548484485373258e-05
0.33675,0.28025,2.724784308932229e-05
0.33675,0.28049999999999997,2.8700608532352448e-05
0.33675,0.28075,3.090657172828129e-05
0.33675,0.28099999999999997,3.38655223260818e-05
0.33675,0.28125,3.757724871078715e-05
0.33675,0.2815,4.204153800444923e-05
0.33675,0.28175,4.725817606705152e-05
0.33675,0.282,5.322694749746602e-05
0.33675,0.28225,5.994763563438929e-05
0.33675,0.2825,6.742002255731644e-05
0.33675,0.28275,7.56438890874773e-05
0.33675,0.283,8.461901478881351e-05
0.33675,0.28325,9.434517796895154e-05
0.33675,0.2835,0.00010482215568016802
0.33675,0.28375,0.00011604972372036978
0.33675,0.284,0.00012802765663407766
0.33675,0.28425,0.00014075572771345214
0.33675,0.2845,0.00015423370899921807
0.33675,0.28474999999999995,0.00016846137128175603
0.33675,0.285,0.00018343848410201305
0.337,0.275,0.0001674001737896371
0.337,0.27525,0.00015298956578720015
0.337,0.2755,0.00013933627936991706
0.337,0.27575,0.00012644013093493785
0.337,0.276,0.00011430093559713073
0.337,0.27625,0.00010291850718994691
0.337,0.2765,9.229265826620084e-05
0.337,0.27675,8.242320009892455e-05
0.337,0.277,7.330994268217636e-05
0.337,0.27725,6.495269473193336e-05
0.337,0.2775,5.7351263686882015e-05
0.337,0.27775,5.050545570927465e-05
0.337,0.278,4.441507568585086e-05
0.337,0.27825,3.9079927228605314e-05
0.337,0.2785,3.449981267573594e-05
0.337,0.27875,3.067453309245713e-05
0.337,0.279,2.7603888271915322e-05
0.337,0.27925,2.5287676736070597e-05
0.337,0.2795,2.372569573656535e-05
0.337,0.27975,2.2917741255641684e-05
0.337,0.2798924654965345,2.279451792563253e-05
0.337,0.28,2.2863608007023717e-05
0.337,0.28025,2.356308943682648e-05
0.337,0.28049999999999997,2.5015977724493222e-05
0.337,0.28075,2.7222063783660412e-05
0.337,0.28099999999999997,3.018113726311391e-05
0.337,0.28125,3.389298654774197e-05
0.337,0.2815,3.835739875940631e-05
0.337,0.28175,4.3574159757896446e-05
0.337,0.282,4.954305414192504e-05
0.337,0.28225,5.6263865250011064e-05
0.337,0.2825,6.373637516147972e-05
0.337,0.28275,7.196036469737284e-05
0.337,0.283,8.093561342145229e-05
0.337,0.28325,9.066189964118526e-05
0.337,0.2835,0.00010113900040865103
0.337,0.28375,0.00011236669152160086
0.337,0.284,0.0001243447475243718
0.337,0.28425,0.00013707294170893505
0.337,0.2845,0.00015055104611586657
0.337,0.28474999999999995,0.00016477883153535262
0.337,0.285,0.00017975606750817797
0.33725,0.275,0.00016400977535305065
0.33725,0.27525,0.0001495992897994789
0.33725,0.2755,0.00013594612585311863
0.33725,0.27575,0.00012305009991094511
0.33725,0.276,0.00011091102708764222
0.33725,0.27625,9.952872121649808e-05
0.33725,0.2765,8.890299485013269e-05
0.33725,0.27675,7.903365926140984e-05
0.33725,0.277,6.992052444421562e-05
0.33725,0.27725,6.156339911434202e-05
0.33725,0.2775,5.396209071028211e-05
0.33725,0.27775,4.711640539415493e-05
0.33725,0.278,4.1026148052469146e-05
0.33725,0.27825,3.569112229708761e-05
0.33725,0.2785,3.1111130465989894e-05
0.33725,0.27875,2.7285973624242705e-05
0.33725,0.279,2.421545156481061e-05
0.33725,0.27925,2.1899362809467092e-05
0.33725,0.2795,2.0337504609690277e-05
0.33725,0.27975,1.9529672947524218e-05
0.33725,0.2798924654965345,1.940651961572188e-05
0.33725,0.28,1.947566253654236e-05
0.33725,0.28025,2.0175266822670535e-05
0.33725,0.28049999999999997,2.162827798515627e-05
0.33725,0.28075,2.38344869374938e-05
0.33725,0.28099999999999997,2.679368332827824e-05
0.33725,0.28125,3.050565554221109e-05
0.33725,0.2815,3.4970190700974576e-05
0.33725,0.28175,4.0187074664217036e-05
0.33725,0.282,4.6156092030437724e-05
0.33725,0.28225,5.287702613799956e-05
0.33725,0.2825,6.0349659066027286e-05
0.33725,0.28275,6.857377163540554e-05
0.33725,0.283,7.754914340973008e-05
0.33725,0.28325,8.727555269627252e-05
0.33725,0.2835,9.775277654693809e-05
0.33725,0.28375,0.00010898059075931164
0.33725,0.284,0.00012095876987754696
0.33725,0.28425,0.00013368708719344892
0.33725,0.2845,0.0001471653147474137
0.33725,0.28474999999999995,0.00016139322332943724
0.33725,0.285,0.00017637058248014408
0.3375,0.275,0.0001609161755691919
0.3375,0.27525,0.00014650581250026881
0.3375,0.2755,0.00013285277106034094
0.3375,0.27575,0.00011995686764621658
0.3375,0.276,0.00010781791737240627
